ID,Name,Molecular Formula,SMILES
L7436,24:1 SM (d18:1/24:1)-d9,C47H84H9N2O6P,[H][C@](/C=C/CCCCCCCCCCCCCCCCCCCCC)(O)[C@@]([H])(NC(CCCCCCC/C=C\CCCCCC)=O)COP([O-])(OCC[N+](C([H])([H])([H]))(C([H])([H])([H]))C([H])([H])([H]))=O
L7437,17:0-14:1 PC-d5,C39H71H5NO8P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\CC
L7438,17:0-16:1 PC-d5,C41H75H5NO8P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\CCCC
L7439,17:0-18:1 PC-d5,C43H79H5NO8P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\CCCCCC
L7440,17:0-20:3 PC-d5,C45H79H5NO8P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\CC
L7441,17:0-22:4 PC-d5,C47H81H5NO8P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\C
L7442,17:0-14:1 PE-d5,C36H65H5NO8P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCC
L7443,17:0-16:1 PE-d5,C38H69H5NO8P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCC
L7444,17:0-18:1 PE-d5,C40H73H5NO8P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC
L7445,17:0-20:3 PE-d5,C42H73H5NO8P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OCCN)OC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\CC
