NO,Name,Molecular Formula,SMILES,RT,RT1,RT2,RT3,RT4,timspro
L7447,17:0-14:1 PG-d5 (Na Salt),C37H65H5NaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([OH])OCC(CO)O)OC(=O)CCCCCCC/C=C\CCCC,5.19,11.2875,3.6525,6.8975,8.025,6.9
L7448,17:0-16:1 PG-d5 (Na Salt),C39H69H5NaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([OH])OCC(CO)O)OC(=O)CCCCCCC/C=C\CCCCCC,6.55,12.14,4.26,7.7475,8.785,7.8
L7449,17:0-18:1 PG-d5 (Na Salt),C41H73H5NaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([OH])OCC(CO)O)OC(=O)CCCCCCC/C=C\CCCCCCCC,8.43,13.145,5.045,8.5425,9.6025,8.3
L7450,17:0-20:3 PG-d5 (Na Salt),C43H73H5NaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([OH])OCC(CO)O)OC(=O)CCCCCCC/C=C\C/C=C\C=C/CCCCC,7.42,12.7,4.64,8.15,9.0925,8.2
L7451,17:0-22:4 PG-d5 (Na Salt),C45H75H5NaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([OH])OCC(CO)O)OC(=O)CCCCCCC/C=C\C/C=C\C=C/C\C=C/CCCC,8,13.0625,4.905,8.4225,9.3075,8.1
L7452,17:0-14:1 PS-d5 (Na Salt),C37H64H5NNaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCC/C=C\CC,5.02,11.155,3.555,6.65,7.9825,7.8
L7453,17:0-16:1 PS-d5 (Na Salt),C39H68H5NNaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCC/C=C\CCCC,6.32,12,4.155,7.545,8.765,9.2
L7454,17:0-18:1 PS-d5 (Na Salt),C41H72H5NNaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCC/C=C\CCCCCC,8.14,12.975,4.965,8.3675,9.605,7.3
L7455,17:0-20:3 PS-d5 (Na Salt),C43H72H5NNaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\CC,7.15,12.5725,4.54,7.985,9.0775,8
L7456,17:0-22:4 PS-d5 (Na Salt),C45H74H5NNaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\C,7.75,12.9225,4.8125,8.24,9.3225,8.2
L7457,17:0-14:1 DG-d5,C34H59H5O5,[H][C@](C([H])([H])O)(C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCC  ,9.96,14.025,6.095,10,9.945,8.9
L7458,17:0-16:1 DG-d5,C36H63H5O5,[H][C@](C([H])([H])O)(C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC,12.89,14.48,7.285,10.29,10.78,9.6
L7459,17:0-18:1 DG-d5,C38H67H5O5,[H][C@](C([H])([H])O)(C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,14.2,14.915,8.7,10.92,11.625,10.2
L7460,17:0-20:3 DG-d5,C40H67H5O5, [H][C@](C([H])([H])O)(C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\CC ,13.79,14.715,7.96,10.605,11.05,9.8
L7461,17:0-22:4 DG-d5,C42H69H5O5, [H][C@](C([H])([H])O)(C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC  ,14.02,14.845,8.4,11.995,11.245,9.9
L7462,17:0-14:1 PI-d5 (NH4 Salt),C40H73H5NO13P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OC(=O)CCCCC/C=C\CCCCCC,4.86,11.115,3.475,6.535,7.8675,7.6
