original_column,renamed_column
MATS4e,DP0283
MATS5e,DP0284
MATS6e,DP0285
MATS7e,DP0286
MATS8e,DP0287
MATS1p,DP0288
MATS2p,DP0289
MATS3p,DP0290
MATS4p,DP0291
MATS5p,DP0292
MATS6p,DP0293
MATS7p,DP0294
MATS8p,DP0295
MATS1i,DP0296
MATS2i,DP0297
MATS3i,DP0298
MATS4i,DP0299
MATS5i,DP0300
MATS6i,DP0301
MATS7i,DP0302
MATS8i,DP0303
MATS1s,DP0304
MATS2s,DP0305
MATS3s,DP0306
MATS4s,DP0307
MATS5s,DP0308
MATS6s,DP0309
MATS7s,DP0310
MATS8s,DP0311
GATS1c,DP0312
GATS2c,DP0313
GATS3c,DP0314
GATS4c,DP0315
GATS5c,DP0316
GATS6c,DP0317
GATS7c,DP0318
GATS8c,DP0319
GATS1m,DP0320
GATS2m,DP0321
GATS3m,DP0322
GATS4m,DP0323
GATS5m,DP0324
GATS6m,DP0325
GATS7m,DP0326
GATS8m,DP0327
GATS1v,DP0328
GATS2v,DP0329
GATS3v,DP0330
GATS4v,DP0331
GATS5v,DP0332
GATS6v,DP0333
GATS7v,DP0334
GATS8v,DP0335
GATS1e,DP0336
GATS2e,DP0337
GATS3e,DP0338
GATS4e,DP0339
GATS5e,DP0340
GATS6e,DP0341
GATS7e,DP0342
GATS8e,DP0343
GATS1p,DP0344
GATS2p,DP0345
GATS3p,DP0346
GATS4p,DP0347
GATS5p,DP0348
GATS6p,DP0349
GATS7p,DP0350
GATS8p,DP0351
GATS1i,DP0352
GATS2i,DP0353
GATS3i,DP0354
GATS4i,DP0355
GATS5i,DP0356
GATS6i,DP0357
GATS7i,DP0358
GATS8i,DP0359
GATS1s,DP0360
GATS2s,DP0361
GATS3s,DP0362
GATS4s,DP0363
GATS5s,DP0364
GATS6s,DP0365
GATS7s,DP0366
GATS8s,DP0367
SpAbs_DzZ,DP0368
SpMax_DzZ,DP0369
SpDiam_DzZ,DP0370
SpAD_DzZ,DP0371
SpMAD_DzZ,DP0372
EE_DzZ,DP0373
SM1_DzZ,DP0374
VE1_DzZ,DP0375
VE2_DzZ,DP0376
VE3_DzZ,DP0377
VR1_DzZ,DP0378
VR2_DzZ,DP0379
VR3_DzZ,DP0380
SpAbs_Dzm,DP0381
SpMax_Dzm,DP0382
SpDiam_Dzm,DP0383
SpAD_Dzm,DP0384
SpMAD_Dzm,DP0385
EE_Dzm,DP0386
SM1_Dzm,DP0387
VE1_Dzm,DP0388
VE2_Dzm,DP0389
VE3_Dzm,DP0390
VR1_Dzm,DP0391
VR2_Dzm,DP0392
VR3_Dzm,DP0393
SpAbs_Dzv,DP0394
SpMax_Dzv,DP0395
SpDiam_Dzv,DP0396
SpAD_Dzv,DP0397
SpMAD_Dzv,DP0398
EE_Dzv,DP0399
SM1_Dzv,DP0400
VE1_Dzv,DP0401
VE2_Dzv,DP0402
VE3_Dzv,DP0403
VR1_Dzv,DP0404
VR2_Dzv,DP0405
VR3_Dzv,DP0406
SpAbs_Dze,DP0407
SpMax_Dze,DP0408
SpDiam_Dze,DP0409
SpAD_Dze,DP0410
SpMAD_Dze,DP0411
EE_Dze,DP0412
SM1_Dze,DP0413
VE1_Dze,DP0414
VE2_Dze,DP0415
VE3_Dze,DP0416
VR1_Dze,DP0417
VR2_Dze,DP0418
VR3_Dze,DP0419
SpAbs_Dzp,DP0420
SpMax_Dzp,DP0421
SpDiam_Dzp,DP0422
SpAD_Dzp,DP0423
SpMAD_Dzp,DP0424
EE_Dzp,DP0425
SM1_Dzp,DP0426
VE1_Dzp,DP0427
VE2_Dzp,DP0428
VE3_Dzp,DP0429
VR1_Dzp,DP0430
VR2_Dzp,DP0431
VR3_Dzp,DP0432
SpAbs_Dzi,DP0433
SpMax_Dzi,DP0434
SpDiam_Dzi,DP0435
SpAD_Dzi,DP0436
SpMAD_Dzi,DP0437
EE_Dzi,DP0438
SM1_Dzi,DP0439
VE1_Dzi,DP0440
VE2_Dzi,DP0441
VE3_Dzi,DP0442
VR1_Dzi,DP0443
VR2_Dzi,DP0444
VR3_Dzi,DP0445
SpAbs_Dzs,DP0446
SpMax_Dzs,DP0447
SpDiam_Dzs,DP0448
SpAD_Dzs,DP0449
SpMAD_Dzs,DP0450
EE_Dzs,DP0451
SM1_Dzs,DP0452
VE1_Dzs,DP0453
VE2_Dzs,DP0454
VE3_Dzs,DP0455
VR1_Dzs,DP0456
VR2_Dzs,DP0457
VR3_Dzs,DP0458
nBase,DP0459
BCUTw-1l,DP0460
BCUTw-1h,DP0461
BCUTc-1l,DP0462
BCUTc-1h,DP0463
BCUTp-1l,DP0464
BCUTp-1h,DP0465
nBonds,DP0466
nBonds2,DP0467
nBondsS,DP0468
nBondsS2,DP0469
nBondsS3,DP0470
nBondsD,DP0471
nBondsD2,DP0472
nBondsT,DP0473
nBondsQ,DP0474
nBondsM,DP0475
bpol,DP0476
SpMax1_Bhm,DP0477
SpMax2_Bhm,DP0478
SpMax3_Bhm,DP0479
SpMax4_Bhm,DP0480
SpMax5_Bhm,DP0481
SpMax6_Bhm,DP0482
SpMax7_Bhm,DP0483
SpMax8_Bhm,DP0484
SpMin1_Bhm,DP0485
SpMin2_Bhm,DP0486
SpMin3_Bhm,DP0487
SpMin4_Bhm,DP0488
SpMin5_Bhm,DP0489
SpMin6_Bhm,DP0490
SpMin7_Bhm,DP0491
SpMin8_Bhm,DP0492
SpMax1_Bhv,DP0493
SpMax2_Bhv,DP0494
SpMax3_Bhv,DP0495
SpMax4_Bhv,DP0496
SpMax5_Bhv,DP0497
SpMax6_Bhv,DP0498
SpMax7_Bhv,DP0499
SpMax8_Bhv,DP0500
SpMin1_Bhv,DP0501
SpMin2_Bhv,DP0502
SpMin3_Bhv,DP0503
SpMin4_Bhv,DP0504
SpMin5_Bhv,DP0505
SpMin6_Bhv,DP0506
SpMin7_Bhv,DP0507
SpMin8_Bhv,DP0508
SpMax1_Bhe,DP0509
SpMax2_Bhe,DP0510
SpMax3_Bhe,DP0511
SpMax4_Bhe,DP0512
SpMax5_Bhe,DP0513
SpMax6_Bhe,DP0514
SpMax7_Bhe,DP0515
SpMax8_Bhe,DP0516
SpMin1_Bhe,DP0517
SpMin2_Bhe,DP0518
SpMin3_Bhe,DP0519
SpMin4_Bhe,DP0520
SpMin5_Bhe,DP0521
SpMin6_Bhe,DP0522
SpMin7_Bhe,DP0523
SpMin8_Bhe,DP0524
SpMax1_Bhp,DP0525
SpMax2_Bhp,DP0526
SpMax3_Bhp,DP0527
SpMax4_Bhp,DP0528
SpMax5_Bhp,DP0529
SpMax6_Bhp,DP0530
SpMax7_Bhp,DP0531
SpMax8_Bhp,DP0532
SpMin1_Bhp,DP0533
SpMin2_Bhp,DP0534
SpMin3_Bhp,DP0535
SpMin4_Bhp,DP0536
SpMin5_Bhp,DP0537
SpMin6_Bhp,DP0538
SpMin7_Bhp,DP0539
SpMin8_Bhp,DP0540
SpMax1_Bhi,DP0541
SpMax2_Bhi,DP0542
SpMax3_Bhi,DP0543
SpMax4_Bhi,DP0544
SpMax5_Bhi,DP0545
SpMax6_Bhi,DP0546
SpMax7_Bhi,DP0547
SpMax8_Bhi,DP0548
SpMin1_Bhi,DP0549
SpMin2_Bhi,DP0550
SpMin3_Bhi,DP0551
SpMin4_Bhi,DP0552
SpMin5_Bhi,DP0553
SpMin6_Bhi,DP0554
SpMin7_Bhi,DP0555
SpMin8_Bhi,DP0556
SpMax1_Bhs,DP0557
SpMax2_Bhs,DP0558
SpMax3_Bhs,DP0559
SpMax4_Bhs,DP0560
SpMax5_Bhs,DP0561
SpMax6_Bhs,DP0562
SpMax7_Bhs,DP0563
SpMax8_Bhs,DP0564
SpMin1_Bhs,DP0565
SpMin2_Bhs,DP0566
SpMin3_Bhs,DP0567
SpMin4_Bhs,DP0568
SpMin5_Bhs,DP0569
SpMin6_Bhs,DP0570
SpMin7_Bhs,DP0571
SpMin8_Bhs,DP0572
C1SP1,DP0573
C2SP1,DP0574
C1SP2,DP0575
C2SP2,DP0576
C3SP2,DP0577
C1SP3,DP0578
C2SP3,DP0579
C3SP3,DP0580
C4SP3,DP0581
SCH-3,DP0582
SCH-4,DP0583
SCH-5,DP0584
SCH-6,DP0585
SCH-7,DP0586
VCH-3,DP0587
VCH-4,DP0588
VCH-5,DP0589
VCH-6,DP0590
VCH-7,DP0591
SC-3,DP0592
SC-4,DP0593
SC-5,DP0594
SC-6,DP0595
VC-3,DP0596
VC-4,DP0597
VC-5,DP0598
VC-6,DP0599
SPC-4,DP0600
SPC-5,DP0601
SPC-6,DP0602
VPC-4,DP0603
VPC-5,DP0604
VPC-6,DP0605
SP-0,DP0606
SP-1,DP0607
SP-2,DP0608
SP-3,DP0609
SP-4,DP0610
SP-5,DP0611
SP-6,DP0612
SP-7,DP0613
ASP-0,DP0614
ASP-1,DP0615
ASP-2,DP0616
ASP-3,DP0617
ASP-4,DP0618
ASP-5,DP0619
ASP-6,DP0620
ASP-7,DP0621
VP-0,DP0622
VP-1,DP0623
VP-2,DP0624
VP-3,DP0625
VP-4,DP0626
VP-5,DP0627
VP-6,DP0628
VP-7,DP0629
AVP-0,DP0630
AVP-1,DP0631
AVP-2,DP0632
AVP-3,DP0633
AVP-4,DP0634
AVP-5,DP0635
AVP-6,DP0636
AVP-7,DP0637
Sv,DP0638
Sse,DP0639
Spe,DP0640
Sare,DP0641
Sp,DP0642
Si,DP0643
Mv,DP0644
Mse,DP0645
Mpe,DP0646
Mare,DP0647
Mp,DP0648
Mi,DP0649
CrippenLogP,DP0650
CrippenMR,DP0651
SpMax_Dt,DP0652
SpDiam_Dt,DP0653
SpAD_Dt,DP0654
SpMAD_Dt,DP0655
EE_Dt,DP0656
VE1_Dt,DP0657
VE2_Dt,DP0658
VE3_Dt,DP0659
VR1_Dt,DP0660
VR2_Dt,DP0661
VR3_Dt,DP0662
ECCEN,DP0663
nHBd,DP0664
nwHBd,DP0665
nHBa,DP0666
nwHBa,DP0667
nHBint2,DP0668
nHBint3,DP0669
nHBint4,DP0670
nHBint5,DP0671
nHBint6,DP0672
nHBint7,DP0673
nHBint8,DP0674
nHBint9,DP0675
nHBint10,DP0676
nHsOH,DP0677
nHdNH,DP0678
nHsSH,DP0679
nHsNH2,DP0680
nHssNH,DP0681
nHaaNH,DP0682
nHsNH3p,DP0683
nHssNH2p,DP0684
nHsssNHp,DP0685
nHtCH,DP0686
nHdCH2,DP0687
nHdsCH,DP0688
nHaaCH,DP0689
nHCHnX,DP0690
nHCsats,DP0691
nHCsatu,DP0692
nHAvin,DP0693
nHother,DP0694
nHmisc,DP0695
nsLi,DP0696
nssBe,DP0697
nssssBem,DP0698
nsBH2,DP0699
nssBH,DP0700
nsssB,DP0701
